,a,b,c
319,155,372,403.0
320,279,372,465.0
321,168,374,410.0
322,200,375,425.0
323,282,376,470.0
324,336,377,505.0
325,96,378,390.0
326,360,378,522.0
327,261,380,461.0
328,285,380,475.0
329,112,384,400.0
330,160,384,416.0
331,288,384,480.0
332,132,385,407.0
333,180,385,425.0
334,336,385,511.0
335,291,388,485.0
336,56,390,394.0
337,208,390,442.0
338,120,391,409.0
339,231,392,455.0
340,294,392,490.0
341,80,396,404.0
342,165,396,429.0
343,203,396,445.0
344,255,396,471.0
345,297,396,495.0
346,40,399,401.0
347,380,399,551.0
